ticker,fundingRate,markPrice,effectiveAtHeight,fundingTime,source,has_interest_component,interest_rate_per_interval,symbol
BTC-USD,1.2125e-05,95151.12977,72115126,2026-01-18 04:00:00.567000+00:00,dydx,False,0.0,BTC-USD
BTC-USD,7.25e-06,94997.4505,72109385,2026-01-18 03:00:00.365000+00:00,dydx,False,0.0,BTC-USD
BTC-USD,5.375e-06,94927.81563,72103585,2026-01-18 02:00:00.160000+00:00,dydx,False,0.0,BTC-USD
BTC-USD,2.5e-06,95103.10937,72097742,2026-01-18 01:00:00.130000+00:00,dydx,False,0.0,BTC-USD
BTC-USD,1.625e-06,95134.83906,72091804,2026-01-18 00:00:00.353000+00:00,dydx,False,0.0,BTC-USD
BTC-USD,4.625e-06,95194.23123,72085899,2026-01-17 23:00:00.555000+00:00,dydx,False,0.0,BTC-USD
BTC-USD,3.75e-06,95297.56501,72079987,2026-01-17 22:00:00.626000+00:00,dydx,False,0.0,BTC-USD
BTC-USD,2.125e-06,95351.71482,72074072,2026-01-17 21:00:00.070000+00:00,dydx,False,0.0,BTC-USD
BTC-USD,4.625e-06,95301.76725,72068179,2026-01-17 20:00:00.262000+00:00,dydx,False,0.0,BTC-USD
BTC-USD,1.625e-06,95404.09879,72062318,2026-01-17 19:00:00.470000+00:00,dydx,False,0.0,BTC-USD
BTC-USD,3.75e-06,95305.19396,72056411,2026-01-17 18:00:00.859000+00:00,dydx,False,0.0,BTC-USD
BTC-USD,1.875e-06,95297.54049,72050567,2026-01-17 17:00:00.195000+00:00,dydx,False,0.0,BTC-USD
BTC-USD,2.75e-06,95562.08758,72044722,2026-01-17 16:00:00.571000+00:00,dydx,False,0.0,BTC-USD
BTC-USD,5.75e-06,95458.4533,72038911,2026-01-17 15:00:00.451000+00:00,dydx,False,0.0,BTC-USD
BTC-USD,7.25e-06,95404.2191,72033086,2026-01-17 14:00:00.464000+00:00,dydx,False,0.0,BTC-USD
BTC-USD,9e-06,95216.4517,72027314,2026-01-17 13:00:00.128000+00:00,dydx,False,0.0,BTC-USD
BTC-USD,1.35e-05,95260.06122,72021483,2026-01-17 12:00:00.428000+00:00,dydx,False,0.0,BTC-USD
BTC-USD,1.05e-05,95091.02269,72015768,2026-01-17 11:00:00.372000+00:00,dydx,False,0.0,BTC-USD
BTC-USD,1.2625e-05,95252.78444,72010040,2026-01-17 10:00:00.252000+00:00,dydx,False,0.0,BTC-USD
BTC-USD,1.0625e-05,95194.76833,72004289,2026-01-17 09:00:00.121000+00:00,dydx,False,0.0,BTC-USD
BTC-USD,1.3625e-05,95086.9499,71998586,2026-01-17 08:00:00.463000+00:00,dydx,False,0.0,BTC-USD
BTC-USD,1.2625e-05,95196.34279,71992696,2026-01-17 07:00:00.002000+00:00,dydx,False,0.0,BTC-USD
BTC-USD,1.025e-05,95284.01994,71986783,2026-01-17 06:00:00.713000+00:00,dydx,False,0.0,BTC-USD
BTC-USD,1.0875e-05,95293.96027,71980969,2026-01-17 05:00:00.573000+00:00,dydx,False,0.0,BTC-USD
BTC-USD,6.875e-06,95348.02039,71975114,2026-01-17 04:00:00.349000+00:00,dydx,False,0.0,BTC-USD
BTC-USD,4.125e-06,95348.86596,71969229,2026-01-17 03:00:00.314000+00:00,dydx,False,0.0,BTC-USD
BTC-USD,4.75e-06,95398.80788,71963257,2026-01-17 02:00:00.383000+00:00,dydx,False,0.0,BTC-USD
BTC-USD,4.5e-06,95446.39572,71957317,2026-01-17 01:00:00.198000+00:00,dydx,False,0.0,BTC-USD
BTC-USD,8.875e-06,95540.36925,71951368,2026-01-17 00:00:00.387000+00:00,dydx,False,0.0,BTC-USD
BTC-USD,8.375e-06,95483.20503,71945544,2026-01-16 23:00:00.098000+00:00,dydx,False,0.0,BTC-USD
BTC-USD,8.625e-06,95496.69963,71939741,2026-01-16 22:00:00.233000+00:00,dydx,False,0.0,BTC-USD
BTC-USD,9.125e-06,95520.3777,71933923,2026-01-16 21:00:00.596000+00:00,dydx,False,0.0,BTC-USD
BTC-USD,1.075e-05,94973.46988,71928103,2026-01-16 20:00:00.454000+00:00,dydx,False,0.0,BTC-USD
BTC-USD,5.625e-06,95011.37857,71922269,2026-01-16 19:00:00.281000+00:00,dydx,False,0.0,BTC-USD
BTC-USD,-7e-06,95056.68469,71916418,2026-01-16 18:00:00.348000+00:00,dydx,False,0.0,BTC-USD
BTC-USD,-4.625e-05,94875.04251,71910609,2026-01-16 17:00:00.007000+00:00,dydx,False,0.0,BTC-USD
BTC-USD,-5e-07,94607.27854,71904748,2026-01-16 16:00:00.046000+00:00,dydx,False,0.0,BTC-USD
BTC-USD,-1.75e-06,95191.69573,71898990,2026-01-16 15:00:00.577000+00:00,dydx,False,0.0,BTC-USD
BTC-USD,-6.25e-07,95451.70482,71893112,2026-01-16 14:00:00.311000+00:00,dydx,False,0.0,BTC-USD
BTC-USD,-2.5e-07,95424.10256,71887277,2026-01-16 13:00:00.439000+00:00,dydx,False,0.0,BTC-USD
BTC-USD,6.25e-07,95429.38164,71881443,2026-01-16 12:00:00.274000+00:00,dydx,False,0.0,BTC-USD
BTC-USD,-6.25e-07,95321.9856,71875736,2026-01-16 11:00:00.447000+00:00,dydx,False,0.0,BTC-USD
BTC-USD,-1.5e-06,95635.65894,71869969,2026-01-16 10:00:00.512000+00:00,dydx,False,0.0,BTC-USD
BTC-USD,2.625e-06,95672.09941,71864456,2026-01-16 09:00:00.555000+00:00,dydx,False,0.0,BTC-USD
BTC-USD,5.375e-06,95667.04829,71858860,2026-01-16 08:00:00.107000+00:00,dydx,False,0.0,BTC-USD
BTC-USD,3.875e-06,95691.44413,71852985,2026-01-16 07:00:00.241000+00:00,dydx,False,0.0,BTC-USD
BTC-USD,1.25e-06,95624.19258,71847132,2026-01-16 06:00:00.388000+00:00,dydx,False,0.0,BTC-USD
BTC-USD,1.25e-07,95250.56511,71841350,2026-01-16 05:00:00.008000+00:00,dydx,False,0.0,BTC-USD
BTC-USD,0.0,95352.1492,71835414,2026-01-16 04:00:00.262000+00:00,dydx,False,0.0,BTC-USD
BTC-USD,-3.75e-07,95513.65,71829402,2026-01-16 03:00:00.008000+00:00,dydx,False,0.0,BTC-USD
BTC-USD,-1.125e-06,95683.77105,71823297,2026-01-16 02:00:00.363000+00:00,dydx,False,0.0,BTC-USD
BTC-USD,0.0,95598.86501,71817371,2026-01-16 01:00:00.075000+00:00,dydx,False,0.0,BTC-USD
BTC-USD,-2.5e-07,95593.75,71811438,2026-01-16 00:00:00.114000+00:00,dydx,False,0.0,BTC-USD
BTC-USD,-2.625e-06,95593.3153,71805581,2026-01-15 23:00:00.551000+00:00,dydx,False,0.0,BTC-USD
BTC-USD,-2.5e-07,95541.64108,71799701,2026-01-15 22:00:00.247000+00:00,dydx,False,0.0,BTC-USD
BTC-USD,-7.5e-07,95216.86838,71793910,2026-01-15 21:00:00.566000+00:00,dydx,False,0.0,BTC-USD
BTC-USD,-2.625e-06,95518.64813,71788085,2026-01-15 20:00:00.148000+00:00,dydx,False,0.0,BTC-USD
BTC-USD,-8.75e-07,95817.86246,71782289,2026-01-15 19:00:00.033000+00:00,dydx,False,0.0,BTC-USD
BTC-USD,-1.0625e-05,96590.59637,71776379,2026-01-15 18:00:00.186000+00:00,dydx,False,0.0,BTC-USD
BTC-USD,-7.5e-06,96728.12718,71770517,2026-01-15 17:00:00.476000+00:00,dydx,False,0.0,BTC-USD
BTC-USD,-8.25e-06,96748.9451,71764670,2026-01-15 16:00:00.496000+00:00,dydx,False,0.0,BTC-USD
BTC-USD,1.125e-05,96021.68219,71758900,2026-01-15 15:00:00.158000+00:00,dydx,False,0.0,BTC-USD
